Name,Position x,Position y,Position z,Rotation x,Rotation y,Rotation z,Scale x,Scale y,Scale z,Parent,Note
"IslandScene_BES_SocialIsland",0,0,0,0,0,0,1,1,1,"","Root generated scene hierarchy"
"Terrain_MainIsland_And_CampingIsland",-256,-4,-256,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Terrain","512m x 512m terrain frame"
"Ocean_Surrounding_Island_WaterShader",0,-2.9,0,0,0,0,620,0.12,620,"IslandScene_BES_SocialIsland/Terrain","Surrounding ocean water shader placeholder"
"Circular_Stone_Plaza",0,5,0,0,0,0,88,0.18,88,"IslandScene_BES_SocialIsland/Environment/CentralPlaza_CENTER_SocialHub_CircularPlaza_Fountain","Center plaza"
"Fountain_Shallow_Lake_Ring_Water",0,5.42,0,0,0,0,23,0.04,23,"IslandScene_BES_SocialIsland/Environment/CentralPlaza_CENTER_SocialHub_CircularPlaza_Fountain","Shallow water ring around central fountain"
"Big_Central_Fountain",0,6.6,0,0,0,0,1.7,1.7,1.7,"IslandScene_BES_SocialIsland/Environment/CentralPlaza_CENTER_SocialHub_CircularPlaza_Fountain","Fountain only in center"
"Player_Spawn_Center_Plaza",0,7,-18,0,0,0,4,2,4,"IslandScene_BES_SocialIsland/Interactions_And_Spawn","Default player spawn/social hub"
"Forest_North_DenseGreenForest_Resources",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","North forest zone"
"AnimalSpawner_Deer_NorthForest",-26,9,92,0,0,0,26,4,20,"IslandScene_BES_SocialIsland/Animals","Deer ambient spawn zone, north forest only"
"AnimalSpawner_Rabbit_NorthForest",32,8,78,0,0,0,28,3,18,"IslandScene_BES_SocialIsland/Animals","Rabbit ambient spawn zone, north forest only"
"AnimalSpawner_Bird_NorthForest",2,16,118,0,0,0,70,16,26,"IslandScene_BES_SocialIsland/Animals","Bird ambient spawn zone and flight layer"
"BirdAudio_NorthForest",0,13,92,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/VFX","Bird ambience placeholder"
"CherryGrove_West_Torii_PhotoSpots",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","West cherry grove zone"
"Japanese_Torii_Gate_Photo_Entrance",-82,6.2,-42,0,25,0,1,1,1,"IslandScene_BES_SocialIsland/Environment/CherryGrove_West_Torii_PhotoSpots","Torii entrance"
"PoolArea_South_SwimmingPool_Recreation",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","South pool zone"
"Pool_Water",-36,5.2,-82,0,0,0,44,0.25,28,"IslandScene_BES_SocialIsland/Environment/PoolArea_South_SwimmingPool_Recreation","Pool water"
"FishingPier_East_Docks_Boats",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","East fishing harbor zone"
"Fishing_Boat_Interactable",96,2.6,-56,0,325,0,0.25,0.25,0.25,"IslandScene_BES_SocialIsland/Environment/FishingPier_East_Docks_Boats","Only boat prop on map"
"Boat_Interaction_Harbor",96,5,-56,0,0,0,8,4,8,"IslandScene_BES_SocialIsland/Interactions_And_Spawn","Only boat interaction on map"
"ViewPoint_NE_OceanCliff_Gazebo",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","NE viewpoint zone"
